Rank	Title	Stars	Debut	Rating	Num of Ratings
97	Doctor Who	Peter Capaldi, Jenna Coleman	2005	8.6	163518
98	Shameless	Emmy Rossum, William H. Macy	2011	8.6	130811
99	Black Adder the Third	Rowan Atkinson, Tony Robinson	1987	8.6	32013
100	Kôdo giasu: Hangyaku no rurûshu	Johnny Yong Bosch, Yuri Lowenthal	2006	8.6	32038
101	Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen	Mayo Suzukaze, Junko Iwao	1999	8.6	9698
102	QI	Alan Davies, Stephen Fry	2003	8.6	25040
103	Downton Abbey	Hugh Bonneville, Phyllis Logan	2010	8.6	124857
104	Spaced	Jessica Hynes, Simon Pegg	1999	8.6	42510
105	Through the Wormhole	Morgan Freeman, Sean Carroll	2010	8.6	14050
106	Brass Eye	Christopher Morris, Mark Heap	1997	8.6	7412
107	Fullmetal Alchemist	Vic Mignogna, Aaron Dismuke	2003	8.6	44546
108	Young Justice	Danica McKellar, Jesse McCartney	2010	8.6	21208
109	Battlestar Galactica	Edward James Olmos, Mary McDonnell	2003	8.6	53636
110	Star Trek: The Next Generation	Patrick Stewart, Brent Spiner	1987	8.6	72764
111	The Daily Show	Jon Stewart, Stephen Colbert	1996	8.6	37804
112	The Handmaid's Tale	Elisabeth Moss, Yvonne Strahovski	2017	8.6	27551
113	Chef's Table	Dan Barber, Massimo Bottura	2015	8.6	6334
114	Yes Minister	Paul Eddington, Nigel Hawthorne	1980	8.6	8491
115	Parks and Recreation	Amy Poehler, Jim O'Heir	2009	8.6	142831
116	Leyla ile Mecnun	Ali Atay, Cengiz Bozkurt	2011	8.6	76267
117	Big Little Lies	Reese Witherspoon, Nicole Kidman	2017	8.6	41632
118	Mad Men	Jon Hamm, Elisabeth Moss	2007	8.6	157250
119	Louie	Louis C.K., Hadley Delany	2010	8.6	64976
120	The Bugs Bunny Show	Mel Blanc, June Foray	1960	8.6	22786
121	Yes, Prime Minister	Paul Eddington, Nigel Hawthorne	1986	8.6	6064
122	Friday Night Lights	Kyle Chandler, Connie Britton	2006	8.6	46317
123	Generation Kill	Alexander Skarsgård, James Ransone	2008	8.6	37904
124	Monster	Liam O'Brien, Karen Strassman	2004	8.6	12142
125	The Night Of	Riz Ahmed, John Turturro	2016	8.6	72566
126	Samurai Champloo	Kazuya Nakai, Ginpei Sato	2004	8.6	28063
127	Father Ted	Dermot Morgan, Ardal O'Hanlon	1995	8.6	28860
128	Flight of the Conchords	Jemaine Clement, Bret McKenzie	2007	8.6	46079
129	Bron/Broen	Sofia Helin, Rafael Pettersson	2011	8.6	36084
130	Gomorra: La serie	Marco D'Amore, Fortunato Cerlino	2014	8.6	14002
131	Justice League	Carl Lumbly, Phil LaMarr	2001	8.6	30925
132	Adventure Time	John DiMaggio, Jeremy Shada	2010	8.6	55109
133	John Adams	Paul Giamatti, Laura Linney	2008	8.6	21948
134	Impractical Jokers	Brian Quinn, James Murray	2011	8.6	22101
135	Justified	Timothy Olyphant, Nick Searcy	2010	8.6	69425
136	Shin Seiki Evangerion	Megumi Ogata, Megumi Hayashibara	1995	8.6	30557
137	Mr. Robot	Rami Malek, Christian Slater	2015	8.6	228036
138	Dr. Horrible's Sing-Along Blog	Neil Patrick Harris, Nathan Fillion	2008	8.6	36987
139	The Newsroom	Jeff Daniels, Emily Mortimer	2012	8.6	87187
140	Boardwalk Empire	Steve Buscemi, Kelly Macdonald	2010	8.6	146246
141	Homicide: Life on the Street	Richard Belzer, Clark Johnson	1993	8.5	9410
142	Peep Show	David Mitchell, Robert Webb	2003	8.5	39091
143	Coupling	Jack Davenport, Gina Bellman	2000	8.5	37111
144	Alfred Hitchcock Presents	Alfred Hitchcock, Harry Tyler	1955	8.5	10809
145	Dragon Ball: Doragon bôru	Masako Nozawa, Jôji Yanami	1986	8.5	33184
146	The Office	Ricky Gervais, Martin Freeman	2001	8.5	75479
147	House of Cards	Ian Richardson, Susannah Harker	1990	8.5	9656
148	Feud	Jessica Lange, Susan Sarandon	2017	8.5	8575
149	Vikings	Gustaf Skarsgård, Katheryn Winnick	2013	8.5	253644
150	Dragon Ball	Brice Armstrong, Steve Olson	1995	8.5	39984
151	Taboo	Tom Hardy, Leo Bill	2017	8.5	65832
152	Agatha Christie's Poirot	David Suchet, Hugh Fraser	1989	8.5	27429
153	Whose Line Is It Anyway?	Drew Carey, Colin Mochrie	1998	8.5	33612
154	The New Batman Adventures	Kevin Conroy, Tara Strong	1997	8.5	9319
155	Rurouni Kenshin: Wandering Samurai	Mayo Suzukaze, Richard Cansino	1996	8.5	13122
156	Tinker Tailor Soldier Spy	Alec Guinness, Michael Jayston	1979	8.5	5728
157	The Prisoner	Patrick McGoohan, Angelo Muscat	1967	8.5	9724
158	Kardes Payi	Ahmet Kural, Murat Cemcir	2014	8.5	10554
159	Spartacus: Gods of the Arena	John Hannah, Manu Bennett	2011	8.5	101303
160	The IT Crowd	Chris O'Dowd, Richard Ayoade	2006	8.5	101416
161	One Piece: Wan pîsu	Tony Beck, Laurent Vernin	1999	8.5	47005
162	Silicon Valley	Thomas Middleditch, T.J. Miller	2014	8.5	80997
163	Ash vs Evil Dead	Bruce Campbell, Ray Santiago	2015	8.5	42106
164	The Colbert Report	Stephen Colbert, Jay Katsir	2005	8.5	33503
165	American Crime Story	Cuba Gooding Jr., Sarah Paulson	2016	8.5	45261
166	Mr. Bean	Rowan Atkinson, Robin Driscoll	1990	8.5	72691
167	Kôkaku kidôtai: Stand Alone Complex	Shirô Saitô, Mary Elizabeth McGlynn	2002	8.5	13926
168	Luther	Idris Elba, Warren Brown	2010	8.5	82952
169	Atlanta	Donald Glover, Brian Tyree Henry	2016	8.5	18249
170	The Venture Bros.	Christopher McCulloch, James Urbaniak	2003	8.5	20000
171	Clannad: After Story	Yûichi Nakamura, David Matranga	2008	8.5	5385
172	Black Books	Dylan Moran, Bill Bailey	2000	8.5	44245
173	The Legend of Korra	Janet Varney, P.J. Byrne	2012	8.5	73685
174	The Angry Video Game Nerd	James Rolfe, Kyle Justin	2004	8.5	11436
175	Hannibal	Hugh Dancy, Mads Mikkelsen	2013	8.5	178686
176	I'm Alan Partridge	Steve Coogan, Phil Cornwell	1997	8.5	14383
177	Suits	Gabriel Macht, Patrick J. Adams	2011	8.5	278741
